,BillingLatitude,BillingLongitude,BillingPostalCode,Consortium_Sales_Total,TA_Sales_Total,ExternalName
0,18.0,-66.61,717,46725473,2772324,4
1,18.0,-66.61,717,8331557,2409715,4
2,18.45,-66.06,911,8273202,2848972,4
3,18.42,-66.07000000000001,918,30253456,133398,4
4,18.42,-66.07000000000001,918,39278477,3504677,4
5,18.42,-66.07000000000001,918,39361757,3516043,4
6,42.37,-72.52,1002,15944163,3435347,17
7,42.06,-72.51,1028,13147726,3328209,17
8,42.06,-72.51,1028,661858,267325,17
9,42.06,-72.51,1028,52138762,2946440,17
10,42.06,-72.51,1028,3188728,2345959,17
11,42.06,-72.51,1028,40364350,2768285,17
12,42.06,-72.51,1028,37289208,2461501,17
13,42.06,-72.51,1028,36402204,801912,17
14,42.35,-72.58,1035,21310742,1976642,17
15,42.35,-72.58,1035,15156800,887667,17
16,42.35,-72.58,1035,17860077,2627177,17
17,42.12,-72.65,1089,38356831,2734095,17
18,42.12,-72.65,1089,22814587,1850011,17
19,42.12,-72.65,1089,4891279,1993181,17
20,42.12,-72.65,1089,-455547,2550493,17
21,42.3,-73.25,1238,5803950,660264,17
22,42.7,-72.43,1360,36939011,2139282,17
23,42.35,-71.85000000000001,1520,35820461,1567964,5
24,18.44,-66.07000000000001,909,-266694,380669,4
25,42.08,-72.03,1550,30286924,982377,17
26,42.27,-71.85000000000001,1602,17938732,1458889,5
27,42.25,-71.77,1604,37624085,1114231,5
28,42.31203,-71.38967,1701,28067919,2728997,5
29,42.3,-71.43,1701,4218484,610717,5
30,42.3,-71.43,1701,13603883,1581494,5
31,42.3,-71.43,1701,37144303,1464970,5
32,42.3,-71.43,1701,50047660,-27922,5
33,42.3,-71.43,1701,1099034,2976864,5
34,42.5,-71.5,1719,29808522,2302821,5
35,42.25,-71.46000000000001,1721,9453498,1289566,5
36,42.45,-71.35000000000001,1742,17004195,506356,5
37,42.45,-71.35000000000001,1742,4859042,2531266,5
38,42.14,-71.51,1757,20744333,1175785,5
39,42.14,-71.51,1757,31317016,1314950,5
40,42.3,-71.51,1772,30465819,306084,5
41,42.3,-71.51,1772,40081767,3426049,5
42,42.36,-71.4,1776,8576862,2169200,5
43,42.36,-71.4,1776,25228576,1926050,5
44,42.36,-71.4,1776,49469229,3209035,5
45,42.48,-71.15,1801,28183906,911427,5
46,42.48,-71.15,1801,49843651,1504031,5
47,42.48,-71.15,1801,38514956,2027817,5
48,42.48,-71.15,1801,31197486,725768,5
49,42.48,-71.15,1801,21104223,2245991,5
50,42.49905,-71.16262,1801,22263016,3009936,5
51,42.48,-71.15,1801,34002386,2373205,5
52,42.48,-71.15,1801,1980348,1721991,5
53,42.48,-71.15,1801,12975982,109706,5
54,42.48,-71.15,1801,29266841,871734,5
55,42.50683,-71.1315,1801,24718774,1755492,5
56,42.5,-71.2,1803,30561822,1539389,5
57,42.5,-71.2,1803,13637615,2300968,5
58,42.5,-71.2,1803,15332174,2971493,5
59,42.5,-71.2,1803,38922138,1674110,5
60,42.5,-71.2,1803,51396582,3044161,5
61,42.5,-71.2,1803,9853587,1013212,5
62,42.59,-71.36,1824,39324715,1354662,5
63,42.59,-71.36,1824,3511559,1763184,5
64,42.59,-71.36,1824,50982809,1380129,5
65,42.7,-71.16,1843,37713677,1453929,5
66,42.58,-71.08,1864,17732804,3517831,5
67,42.58,-71.08,1864,22482508,3067889,5
68,42.58,-71.08,1864,46474626,3015945,5
69,42.58,-71.43,1886,13656933,3310584,5
70,42.55925,-71.43104,1886,47043561,96396,5
71,42.58,-71.43,1886,27818940,1407808,5
72,42.45,-71.14,1890,3449730,233462,5
73,42.45,-71.14,1890,9425899,3295583,5
74,42.45,-71.14,1890,7519216,3465584,5
75,42.63,-70.77,1929,27725132,1171738,5
76,42.67,-70.83,1938,48724670,1445291,5
77,42.67,-70.83,1938,19940027,628065,5
78,42.53,-71.04,1940,34975766,33640,5
79,42.53,-71.04,1940,8592432,2280135,5
80,42.53,-71.04,1940,38686481,1038515,5
81,18.42,-66.05,917,40820566,1450737,4
82,18.42,-66.05,917,42070351,-13957,4
83,42.27,-72.4,1007,20801080,1120556,17
84,42.09,-72.31,1057,51377251,1425479,17
85,42.09,-72.31,1057,33489345,1081078,17
86,42.32,-72.63,1060,41787008,1155824,17
87,42.32,-72.63,1060,2671459,1344922,17
88,42.32,-72.63,1060,26883702,743302,17
89,42.33148,-72.62184,1060,2043558,2496196,13
90,42.1,-72.59,1103,20238020,109224,17
91,42.1,-72.59,1103,26690509,1090317,17
92,42.08,-72.56,1108,5783569,2014364,17
93,42.11,-72.53,1111,35723321,705313,17
94,42.11,-72.53,1144,50831543,3156123,17
95,42.7,-73.2,1267,13433733,333156,17
96,42.2,-71.83,1501,50792273,2161717,5
97,42.2,-71.83,1501,8707417,1967625,5
98,42.2,-71.83,1501,13964170,2238607,5
99,42.17671,-71.87509,1501,24527887,2516961,5
100,42.09,-72.06,1566,10407603,846987,17
101,42.09,-72.06,1566,5199954,1559860,17
102,42.04,-71.87,1570,16018214,1924016,5
103,42.04,-71.87,1570,32031950,2565099,5
104,42.28326,-71.56997,1581,42361390,414129,5
105,42.26,-71.61,1581,14334492,868610,5
106,42.29037,-71.58166,1581,16472637,1834279,5
107,42.26,-71.61,1581,14408049,2576156,5
108,42.26,-71.61,1581,16127089,3364928,5
109,42.26,-71.61,1581,28733322,428855,5
110,42.26,-71.61,1581,51198702,2253155,5
111,42.26,-71.61,1581,10907448,1134097,5
112,42.26,-71.61,1581,36755074,1924358,5
113,42.26,-71.61,1581,38081367,57149,5
114,42.26,-71.61,1581,42943869,540278,5
115,42.26,-71.61,1581,14873825,3470200,5
116,42.26,-71.61,1581,42011805,803704,5
117,42.26,-71.61,1581,35762596,1710130,5
118,42.29,-71.83,1609,33073063,672525,5
119,42.29,-71.83,1609,6703735,650266,5
120,42.29,-71.83,1609,18571766,1500540,5
121,18.40885,-66.09775,969,17705251,1303264,4
122,42.48,-71.26,1730,34242323,1730082,5
123,42.34,-71.54,1752,43087589,3459315,5
124,42.34,-71.54,1752,28705519,814536,5
125,42.34,-71.54,1752,11883748,3477385,5
126,42.34,-71.54,1752,24296711,2527171,5
127,42.34,-71.54,1752,38293340,3375867,5
128,42.06,-72.61,1001,22080859,2956042,17
129,42.55,-71.26,1821,40058764,2805716,5
130,42.75,-71.09,1835,39757408,2591269,5
131,42.46,-71.01,1906,33639780,310581,5
132,42.85,-70.92,1913,11505961,1617976,5
133,42.35,-72.71000000000001,1053,12642769,296428,17
134,42.16,-72.32000000000001,1069,37438599,483351,17
135,42.26,-72.56,1075,13826931,2378912,17
136,42.26,-72.56,1075,41729906,204623,17
137,42.13,-72.75,1085,42601979,2837071,17
138,42.13,-72.75,1085,40128881,387116,17
139,42.15,-71.13,2021,3762252,297591,5
140,42.15,-71.13,2021,11410184,1262571,5
141,42.08,-71.38,2038,28547312,1289608,5
142,42.08,-71.38,2038,23116421,3470565,5
143,42.08,-71.38,2038,37257562,612004,5
144,42.08,-71.38,2038,38992210,2606086,5
145,42.23,-70.88,2043,25232623,614604,5
146,42.23,-70.88,2043,24056367,1835520,5
147,42.23,-70.88,2043,28406555,2997428,5
148,42.23,-70.88,2043,11087057,2468556,5
149,42.23,-70.88,2043,45418550,1126953,5
150,42.23,-70.88,2043,50820770,1645562,5
151,42.23,-70.88,2043,24760181,150722,5
152,42.23,-70.88,2043,6584389,1373759,5
153,42.23,-70.88,2043,31429888,2938767,5
154,42.23,-70.88,2043,14354302,2933151,5
155,42.13,-72.43,1095,25512914,3192978,17
156,42.13,-72.43,1095,5084845,3196111,17
157,42.13,-72.43,1095,48244508,87900,17
158,42.09,-70.7,2050,14072411,578515,5
159,42.09,-70.7,2050,19354742,374488,5
160,42.1371,-71.34476,2056,39113938,53091,5
161,42.16,-70.78,2061,39448085,3025495,5
162,42.16,-70.78,2061,6208894,785283,5
163,42.16,-70.78,2061,29931847,1849009,5
164,42.16,-70.78,2061,49929337,2654625,5
165,42.16395,-70.86694,2061,17559313,25932,5
166,42.16,-70.78,2061,23456283,2294776,5
167,42.16,-70.78,2061,18348896,947891,5
168,42.16,-70.78,2061,37188909,1144912,5
169,42.16,-70.78,2061,45499174,2878429,5
170,42.5,-70.85000000000001,1945,27555815,1519948,5
171,42.6,-71.01,1949,52187485,3471446,5
172,42.6,-71.01,1949,50861564,337537,5
173,42.6,-71.01,1949,11084773,3348370,5
174,42.81,-70.88,1950,49152095,302705,5
175,42.81,-70.88,1950,8772400,1581247,5
176,42.18,-71.3,2052,29883501,1309126,5
177,42.18,-71.3,2052,16764870,2146647,5
178,42.18,-71.19,2062,40125818,316370,5
179,42.18,-71.19,2062,38754748,2802993,5
180,42.18,-71.19,2062,12709783,1469713,5
181,42.18,-71.19,2062,28744084,1678279,5
182,42.18,-71.19,2062,31187704,1892867,5
183,42.20772,-72.60734,1040,2541776,-1215,13
184,42.21,-72.64,1040,27026831,1821125,17
185,42.21,-72.64,1040,32678819,299311,17
186,42.21,-72.64,1040,2534577,3071258,17
187,42.37,-71.05,2109,23267383,2153233,5
188,42.37,-71.05,2109,22670992,1722398,5
189,42.37,-71.05,2109,40378662,2893186,5
190,42.37,-71.05,2109,38035753,26737,5
191,42.37,-71.05,2109,25914686,2447198,5
192,42.37,-71.05,2109,13067131,525613,5
193,42.35928,-71.05738,2109,19774500,1325045,5
194,42.16,-72.48,1056,15004751,488997,17
195,42.16,-72.48,1056,2068400,642795,17
196,42.16,-72.48,1056,5696854,2818459,17
197,42.16,-72.48,1056,20882204,2920351,17
198,42.35,-71.06,2111,42856512,2201912,5
199,42.34883,-71.06344,2111,19686428,1730821,5
200,42.35,-71.06,2111,15845219,3487817,5
201,42.35,-71.06,2111,24383468,1560586,5
202,42.37,-71.08,2141,25427265,2273124,5
203,42.33457,-72.66733,1062,16145802,1139245,13
204,42.45,-73.26,1201,15393990,805853,17
205,42.44665,-73.26145,1201,785153,3340109,13
206,42.45,-73.26,1201,45737235,3289563,17
207,42.19,-73.35000000000001,1230,7085276,948211,17
208,42.54122,-71.64565,1464,23259012,446132,5
209,42.55,-71.9,1473,39789304,2874203,17
210,42.35,-71.73,1505,10647886,1597093,5
211,42.43,-71.05,2148,3555114,1881072,5
212,42.400000000000006,-71.05,2149,38320228,1342406,5
213,42.42,-71.10000000000001,2155,22765798,2570054,5
214,42.42,-71.10000000000001,2155,18948689,2582966,5
215,42.42,-71.10000000000001,2155,2382405,258359,5
216,42.42,-71.10000000000001,2155,608468,2760130,5
217,42.42,-71.10000000000001,2155,15775309,49352,5
218,42.4581,-71.06305,2176,14932073,3222785,5
219,42.47,-71.09,2180,22882134,1502958,5
220,42.47,-71.09,2180,37340106,2942191,5
221,42.2,-71.0,2184,16118801,1921948,5
222,42.2058,-71.00468,2184,29024151,672999,5
223,42.2,-71.0,2184,2292424,3433531,5
224,42.2,-71.0,2184,48153456,1591884,5
225,42.2,-71.0,2184,50648743,1607866,5
226,42.2,-71.0,2184,-317303,131941,5
227,42.2,-71.0,2184,14898999,669992,5
228,42.22641,-71.02598,2184,44307743,1050500,5
229,42.2,-71.0,2184,44823,2476491,5
230,42.22641,-71.02598,2184,32872848,1270195,5
231,42.2,-71.0,2184,29598809,732523,5
232,42.26,-71.8,1608,33228953,3416667,5
233,42.26,-71.8,1608,13445127,2614972,5
234,42.25743,-71.04047,2186,40843618,309700,5
235,42.24,-71.08,2186,18240279,2272930,5
236,42.24,-71.08,2186,28589087,982496,5
237,42.26,-71.8,1655,8438640,1913252,5
238,42.28,-71.44,1702,12840176,2975833,5
239,42.48,-71.46000000000001,1720,4972942,2953286,5
240,42.48,-71.46000000000001,1720,18344982,725706,5
241,42.22,-71.52,1748,49501200,3156333,5
242,42.39,-71.56,1749,30626123,76659,5
243,42.39,-71.56,1749,3313,1328724,5
244,42.28,-71.35000000000001,1760,3250186,1758869,5
245,42.28,-71.35000000000001,1760,42439952,1468012,5
246,42.28,-71.35000000000001,1760,38376801,989957,5
247,42.08,-71.02,2301,675779,1026728,5
248,42.36,-71.36,1778,51852748,249281,5
249,42.05,-71.10000000000001,2356,26172843,2680719,5
250,42.03,-71.10000000000001,2375,36748286,-16727,5
251,42.03,-71.10000000000001,2375,13279086,2602748,5
252,42.03,-71.10000000000001,2375,23959755,1920710,5
253,42.01253,-71.06614,2375,16827500,3327168,5
254,42.03,-71.10000000000001,2375,31058703,1523520,5
255,42.69102,-71.21101,1810,-493786,591885,5
256,42.65,-71.14,1810,33287783,866181,5
257,42.65,-71.14,1810,13144520,772842,5
258,42.65,-71.14,1810,36000027,311573,5
259,42.44,-71.23,2421,22078067,1541452,5
260,42.39,-71.22,2452,16475732,764446,5
261,42.34,-71.24,2466,2666877,3167240,5
262,42.34,-71.24,2466,20074565,1225313,5
263,42.34,-71.24,2466,12730286,171156,5
264,42.37,-71.18,2472,39066453,1139364,5
265,42.74,-71.18,1844,3089760,2881404,5
266,42.63,-71.3,1852,22107540,415476,5
267,42.68,-71.41,1879,40108322,314377,5
268,42.29,-71.3,2482,130472,1096232,5
269,41.62946,-70.38759,2655,21665246,171757,5
270,41.62,-70.38,2655,24416501,3029196,5
271,41.69,-71.13,2723,12231002,1106571,5
272,41.64,-71.0,2747,11476808,2543620,5
273,41.64,-71.0,2747,38456751,147285,5
274,41.64,-71.0,2747,33498378,2004797,5
275,41.93,-71.04,2767,30473103,3075845,5
276,41.75,-71.18,2777,20677929,1679872,5
277,41.38,-71.65,2813,46532959,846631,5
278,41.38,-71.65,2813,855262,1748682,5
279,41.63,-71.5,2818,19817278,3387289,5
280,41.63,-71.5,2818,45132793,3149134,5
281,41.6646496,-71.4477933,2818,14031489,2231361,5
282,41.63,-71.5,2818,7145738,3166010,5
283,41.63,-71.5,2818,7730952,169996,5
284,41.94,-71.41,2864,49357319,482707,5
285,41.7,-71.42,2889,22992325,1273362,5
286,41.37,-71.81,2891,6044880,825579,5
287,41.37,-71.81,2891,46292051,1391045,5
288,41.37,-71.81,2891,12451815,1808118,5
289,41.95,-71.55,2896,4530548,3488344,5
290,41.86,-71.44,2904,-200799,660240,5
291,41.81,-71.37,2914,8143385,2232508,5
292,41.81,-71.37,2914,29039529,3020341,5
293,41.76452,-71.45794,2920,10899646,1242852,5
294,41.77,-71.47,2920,32242217,2833233,5
295,41.77,-71.47,2920,26047994,1313768,5
296,41.77,-71.47,2920,43741501,299502,5
297,41.77,-71.47,2920,5511981,1118036,5
298,41.77,-71.47,2920,33842694,2180126,5
299,41.77,-71.47,2920,34567112,516377,5
300,41.77,-71.47,2920,30057604,1448437,5
301,41.77,-71.47,2920,16841792,1699038,5
302,42.13,-71.24,2081,5593573,1425538,5
303,42.13,-71.24,2081,14502666,3468578,5
304,42.89,-71.28,3038,11453130,654392,5
305,42.89,-71.28,3038,14148939,3381391,5
306,42.78,-71.52,3063,51042240,433768,5
307,42.78,-71.52,3063,20952874,2998260,5
308,42.78,-71.52,3063,5660074,1253840,5
309,42.78,-71.52,3063,35823234,2356254,5
310,42.78,-71.2,3079,52086013,2144396,5
311,42.78,-71.2,3079,28151033,264876,5
312,42.78,-71.2,3079,19809510,479073,5
313,42.78,-71.2,3079,37613825,291000,5
314,42.78,-71.2,3079,31179032,378881,5
315,42.78,-71.2,3079,50779464,481855,5
316,42.78,-71.2,3079,42025368,2695581,5
317,42.36,-71.05,2110,46817348,560918,5
318,42.36,-71.05,2110,20704873,774786,5
319,42.36,-71.05,2110,31329737,186209,5
320,42.36,-71.05,2110,21407313,1133545,5
321,42.36,-71.05,2110,21237217,1663308,5
322,42.36,-71.05,2110,4112804,1589123,5
323,42.35494,-71.05664,2110,38993768,897040,5
324,42.36,-71.05,2110,3559693,813502,5
325,42.36,-71.05,2110,38921145,594261,5
326,42.84,-71.73,3086,36042999,1508661,5
327,42.95,-71.5,3110,29191105,2509115,5
328,42.95,-71.5,3110,47771832,2354395,5
329,42.95,-71.5,3110,14270598,2389188,5
330,42.95765,-71.50112,3110,37813930,2410861,5
331,42.95,-71.5,3110,13912607,1955048,5
332,42.95,-71.5,3110,24825889,2860285,5
333,42.95,-71.5,3110,5476036,1292036,5
334,42.95,-71.5,3110,34545853,123413,5
335,42.95,-71.5,3110,50836729,2325634,5
336,42.95,-71.5,3110,40611718,3385886,5
337,42.95,-71.5,3110,42673802,3233847,5
338,42.95,-71.5,3110,3039810,19035,5
339,42.95,-71.5,3110,13589132,1725817,5
340,42.95765,-71.50112,3110,19020526,234404,5
341,42.95,-71.5,3110,42952141,3420303,5
342,42.95,-71.5,3110,20227472,3188423,5
343,43.75,-71.39,3254,23507827,702057,5
344,43.13,-71.54,3304,29653713,84764,5
345,42.87,-71.96000000000001,3458,38107772,1267520,5
346,42.87,-71.96000000000001,3458,6491013,1632926,5
347,43.37,-72.33,3743,10837038,985249,5
348,43.64,-72.31,3784,31191209,2696894,5
349,43.05,-70.78,3801,28834630,607693,5
350,43.05,-70.78,3801,34416503,2422858,5
351,43.05,-70.78,3801,22215609,2474481,5
352,43.05,-70.78,3801,2683156,2011002,5
353,43.05,-70.78,3801,12816713,1071697,5
354,43.05,-70.78,3801,45446727,3427049,5
