,BillingLatitude,BillingLongitude,BillingPostalCode,Consortium_Sales_Total,TA_Sales_Total,ExternalName
0,18.0,-66.61,717,46725473,2772324,Taylor
1,18.0,-66.61,717,8331557,2409715,Taylor
2,18.45,-66.06,911,8273202,2848972,Taylor
3,18.42,-66.07000000000001,918,30253456,133398,Taylor
4,18.42,-66.07000000000001,918,39278477,3504677,Taylor
5,18.42,-66.07000000000001,918,39361757,3516043,Taylor
6,42.37,-72.52,1002,15944163,3435347,Nicole
7,42.06,-72.51,1028,13147726,3328209,Nicole
8,42.06,-72.51,1028,661858,267325,Nicole
9,42.06,-72.51,1028,52138762,2946440,Nicole
10,42.06,-72.51,1028,3188728,2345959,Nicole
11,42.06,-72.51,1028,40364350,2768285,Nicole
12,42.06,-72.51,1028,37289208,2461501,Nicole
13,42.06,-72.51,1028,36402204,801912,Nicole
14,42.35,-72.58,1035,21310742,1976642,Nicole
15,42.35,-72.58,1035,15156800,887667,Nicole
16,42.35,-72.58,1035,17860077,2627177,Nicole
17,42.12,-72.65,1089,38356831,2734095,Nicole
18,42.12,-72.65,1089,22814587,1850011,Nicole
19,42.12,-72.65,1089,4891279,1993181,Nicole
20,42.12,-72.65,1089,-455547,2550493,Nicole
21,42.3,-73.25,1238,5803950,660264,Nicole
22,42.7,-72.43,1360,36939011,2139282,Nicole
23,42.35,-71.85000000000001,1520,35820461,1567964,Hannah
24,18.44,-66.07000000000001,909,-266694,380669,Taylor
25,42.08,-72.03,1550,30286924,982377,Nicole
26,42.27,-71.85000000000001,1602,17938732,1458889,Hannah
27,42.25,-71.77,1604,37624085,1114231,Hannah
28,42.31203,-71.38967,1701,28067919,2728997,Hannah
29,42.3,-71.43,1701,4218484,610717,Hannah
30,42.3,-71.43,1701,13603883,1581494,Hannah
31,42.3,-71.43,1701,37144303,1464970,Hannah
32,42.3,-71.43,1701,50047660,-27922,Hannah
33,42.3,-71.43,1701,1099034,2976864,Hannah
34,42.5,-71.5,1719,29808522,2302821,Hannah
35,42.25,-71.46000000000001,1721,9453498,1289566,Hannah
36,42.45,-71.35000000000001,1742,17004195,506356,Hannah
37,42.45,-71.35000000000001,1742,4859042,2531266,Hannah
38,42.14,-71.51,1757,20744333,1175785,Hannah
39,42.14,-71.51,1757,31317016,1314950,Hannah
40,42.3,-71.51,1772,30465819,306084,Hannah
41,42.3,-71.51,1772,40081767,3426049,Hannah
42,42.36,-71.4,1776,8576862,2169200,Hannah
43,42.36,-71.4,1776,25228576,1926050,Hannah
44,42.36,-71.4,1776,49469229,3209035,Hannah
45,42.48,-71.15,1801,28183906,911427,Hannah
46,42.48,-71.15,1801,49843651,1504031,Hannah
47,42.48,-71.15,1801,38514956,2027817,Hannah
48,42.48,-71.15,1801,31197486,725768,Hannah
49,42.48,-71.15,1801,21104223,2245991,Hannah
50,42.49905,-71.16262,1801,22263016,3009936,Hannah
51,42.48,-71.15,1801,34002386,2373205,Hannah
52,42.48,-71.15,1801,1980348,1721991,Hannah
53,42.48,-71.15,1801,12975982,109706,Hannah
54,42.48,-71.15,1801,29266841,871734,Hannah
55,42.50683,-71.1315,1801,24718774,1755492,Hannah
56,42.5,-71.2,1803,30561822,1539389,Hannah
57,42.5,-71.2,1803,13637615,2300968,Hannah
58,42.5,-71.2,1803,15332174,2971493,Hannah
59,42.5,-71.2,1803,38922138,1674110,Hannah
60,42.5,-71.2,1803,51396582,3044161,Hannah
61,42.5,-71.2,1803,9853587,1013212,Hannah
62,42.59,-71.36,1824,39324715,1354662,Hannah
63,42.59,-71.36,1824,3511559,1763184,Hannah
64,42.59,-71.36,1824,50982809,1380129,Hannah
65,42.7,-71.16,1843,37713677,1453929,Hannah
66,42.58,-71.08,1864,17732804,3517831,Hannah
67,42.58,-71.08,1864,22482508,3067889,Hannah
68,42.58,-71.08,1864,46474626,3015945,Hannah
69,42.58,-71.43,1886,13656933,3310584,Hannah
70,42.55925,-71.43104,1886,47043561,96396,Hannah
71,42.58,-71.43,1886,27818940,1407808,Hannah
72,42.45,-71.14,1890,3449730,233462,Hannah
73,42.45,-71.14,1890,9425899,3295583,Hannah
74,42.45,-71.14,1890,7519216,3465584,Hannah
75,42.63,-70.77,1929,27725132,1171738,Hannah
76,42.67,-70.83,1938,48724670,1445291,Hannah
77,42.67,-70.83,1938,19940027,628065,Hannah
78,42.53,-71.04,1940,34975766,33640,Hannah
79,42.53,-71.04,1940,8592432,2280135,Hannah
80,42.53,-71.04,1940,38686481,1038515,Hannah
81,18.42,-66.05,917,40820566,1450737,Taylor
82,18.42,-66.05,917,42070351,-13957,Taylor
83,42.27,-72.4,1007,20801080,1120556,Nicole
84,42.09,-72.31,1057,51377251,1425479,Nicole
85,42.09,-72.31,1057,33489345,1081078,Nicole
86,42.32,-72.63,1060,41787008,1155824,Nicole
87,42.32,-72.63,1060,2671459,1344922,Nicole
88,42.32,-72.63,1060,26883702,743302,Nicole
89,42.33148,-72.62184,1060,2043558,2496196,Lauren
90,42.1,-72.59,1103,20238020,109224,Nicole
91,42.1,-72.59,1103,26690509,1090317,Nicole
92,42.08,-72.56,1108,5783569,2014364,Nicole
93,42.11,-72.53,1111,35723321,705313,Nicole
94,42.11,-72.53,1144,50831543,3156123,Nicole
95,42.7,-73.2,1267,13433733,333156,Nicole
96,42.2,-71.83,1501,50792273,2161717,Hannah
97,42.2,-71.83,1501,8707417,1967625,Hannah
98,42.2,-71.83,1501,13964170,2238607,Hannah
99,42.17671,-71.87509,1501,24527887,2516961,Hannah
100,42.09,-72.06,1566,10407603,846987,Nicole
101,42.09,-72.06,1566,5199954,1559860,Nicole
102,42.04,-71.87,1570,16018214,1924016,Hannah
103,42.04,-71.87,1570,32031950,2565099,Hannah
104,42.28326,-71.56997,1581,42361390,414129,Hannah
105,42.26,-71.61,1581,14334492,868610,Hannah
106,42.29037,-71.58166,1581,16472637,1834279,Hannah
107,42.26,-71.61,1581,14408049,2576156,Hannah
108,42.26,-71.61,1581,16127089,3364928,Hannah
109,42.26,-71.61,1581,28733322,428855,Hannah
110,42.26,-71.61,1581,51198702,2253155,Hannah
111,42.26,-71.61,1581,10907448,1134097,Hannah
112,42.26,-71.61,1581,36755074,1924358,Hannah
113,42.26,-71.61,1581,38081367,57149,Hannah
114,42.26,-71.61,1581,42943869,540278,Hannah
115,42.26,-71.61,1581,14873825,3470200,Hannah
116,42.26,-71.61,1581,42011805,803704,Hannah
117,42.26,-71.61,1581,35762596,1710130,Hannah
118,42.29,-71.83,1609,33073063,672525,Hannah
119,42.29,-71.83,1609,6703735,650266,Hannah
120,42.29,-71.83,1609,18571766,1500540,Hannah
121,18.40885,-66.09775,969,17705251,1303264,Taylor
122,42.48,-71.26,1730,34242323,1730082,Hannah
123,42.34,-71.54,1752,43087589,3459315,Hannah
124,42.34,-71.54,1752,28705519,814536,Hannah
125,42.34,-71.54,1752,11883748,3477385,Hannah
126,42.34,-71.54,1752,24296711,2527171,Hannah
127,42.34,-71.54,1752,38293340,3375867,Hannah
128,42.06,-72.61,1001,22080859,2956042,Nicole
129,42.55,-71.26,1821,40058764,2805716,Hannah
130,42.75,-71.09,1835,39757408,2591269,Hannah
